user_id,day,day_of_week,amount_spent_today,category,mood_while_spending,days_left_in_month,percent_budget_used_so_far,spending_trend,monthly_budget,overspending_risk
1,28,0,342.97,Other,Tired,2,94.69,-574.66,25000,Medium
1,29,1,313.16,Entertainment,Happy,1,95.95,-464.62,25000,Medium
1,30,2,1272.97,Transport,Stressed,0,101.04,-221.07,25000,Medium
2,1,1,88.01,Food,Happy,29,0.88,0.0,10000,High
2,2,2,229.12,Other,Stressed,28,3.17,0.0,10000,High
2,3,3,374.09,Shopping,Neutral,27,6.91,0.0,10000,High
2,4,4,50.0,Food,Neutral,26,7.41,129.73,10000,High
2,5,5,231.65,Transport,Happy,25,9.73,60.02,10000,High
2,6,6,622.57,Transport,Neutral,24,15.95,71.0,10000,High
2,7,0,730.69,Other,Happy,23,23.26,343.0,10000,High
2,8,1,984.87,Transport,Stressed,22,33.11,584.8,10000,High
2,9,2,110.59,Other,Happy,21,34.22,342.81,10000,High
2,10,3,831.33,Shopping,Stressed,20,42.53,309.96,10000,High
2,11,4,849.13,Other,Stressed,19,51.02,183.14,10000,High
2,12,5,448.55,Entertainment,Neutral,18,55.51,329.49,10000,High
2,13,6,595.45,Entertainment,Stressed,17,61.46,205.75,10000,High
2,14,0,452.3,Transport,Neutral,16,65.98,34.94,10000,High
2,15,1,605.4,Transport,Happy,15,72.04,88.5,10000,High
2,16,2,578.44,Transport,Stressed,14,77.82,72.61,10000,High
2,17,3,420.6,Entertainment,Tired,13,82.03,63.5,10000,High
2,18,4,620.03,Food,Tired,12,88.23,59.44,10000,High
2,19,5,169.77,Food,Tired,11,89.93,-82.92,10000,High
2,20,6,528.11,Entertainment,Happy,10,95.21,-43.21,10000,High
2,21,0,575.98,Shopping,Happy,9,100.97,-65.54,10000,High
2,22,1,158.42,Transport,Neutral,8,102.55,-52.46,10000,High
2,23,2,217.23,Other,Happy,7,104.72,-158.83,10000,High
2,24,3,207.35,Food,Impulsive,6,106.8,-286.46,10000,High
2,25,4,1078.9,Other,Stressed,5,117.59,35.02,10000,High
2,26,5,435.21,Food,Neutral,4,121.94,118.5,10000,High
2,27,6,443.77,Other,Neutral,3,126.38,207.64,10000,High
2,28,0,89.95,Food,Impulsive,2,127.28,-147.37,10000,High
2,29,1,471.42,Other,Impulsive,1,131.99,-133.95,10000,High
2,30,2,408.44,Other,Neutral,0,136.07,-144.79,10000,High
3,1,1,349.38,Shopping,Tired,29,1.16,0.0,30000,Low
3,2,2,953.87,Transport,Stressed,28,4.34,0.0,30000,Low
3,3,3,125.99,Transport,Neutral,27,4.76,0.0,30000,Low
3,4,4,822.95,Food,Impulsive,26,7.51,284.89,30000,Low
3,5,5,251.85,Transport,Neutral,25,8.35,-251.36,30000,Low
3,6,6,157.57,Other,Tired,24,8.87,-65.62,30000,Low
3,7,0,482.03,Entertainment,Neutral,23,10.48,-265.9,30000,Low
3,8,1,380.84,Transport,Happy,22,11.75,-160.66,30000,Low
3,9,2,158.85,Other,Neutral,21,12.28,-103.03,30000,Low
3,10,3,153.05,Food,Tired,20,12.79,-218.18,30000,Low
3,11,4,461.15,Entertainment,Impulsive,19,14.33,-182.88,30000,Low
3,12,5,346.73,Other,Neutral,18,15.48,-88.95,30000,Low
3,13,6,139.35,Other,Happy,17,15.95,-67.89,30000,Low
3,14,0,344.75,Shopping,Impulsive,16,17.09,-113.74,30000,Low
3,15,1,610.32,Other,Happy,15,19.13,-22.22,30000,Low
3,16,2,248.96,Food,Happy,14,19.96,33.37,30000,Low
3,17,3,378.63,Food,Neutral,13,21.22,46.33,30000,Low
3,18,4,444.11,Other,Neutral,12,22.7,-25.35,30000,Low
3,19,5,1365.22,Entertainment,Neutral,11,27.25,355.09,30000,Low
3,20,6,263.6,Food,Happy,10,28.13,316.49,30000,Low
3,21,0,272.02,Entertainment,Neutral,9,29.04,255.26,30000,Low
3,22,1,133.7,Transport,Happy,8,29.48,-207.19,30000,Low
3,23,2,336.5,Transport,Neutral,7,30.6,-174.55,30000,Low
3,24,3,1032.64,Transport,Stressed,6,34.05,86.13,30000,Low
3,25,4,936.66,Shopping,Stressed,5,37.17,366.56,30000,Low
3,26,5,955.9,Other,Happy,4,40.36,575.87,30000,Low
3,27,6,677.83,Shopping,Tired,3,42.61,431.21,30000,Low
3,28,0,694.6,Entertainment,Neutral,2,44.93,330.08,30000,Low
3,29,1,73.1,Shopping,Happy,1,45.17,16.2,30000,Low
3,30,2,718.63,Transport,Neutral,0,47.57,21.95,30000,Low
4,1,1,585.58,Transport,Neutral,29,3.9,0.0,15000,Medium
4,2,2,1417.28,Other,Impulsive,28,13.35,0.0,15000,Medium
4,3,3,925.49,Other,Stressed,27,19.52,0.0,15000,Medium
4,4,4,469.79,Transport,Neutral,26,22.65,351.94,15000,Medium
4,5,5,1310.19,Other,Stressed,25,31.39,-99.61,15000,Medium
4,6,6,153.75,Food,Happy,24,32.41,-331.54,15000,Medium
4,7,0,492.65,Food,Neutral,23,35.7,-197.34,15000,Medium
4,8,1,235.74,Food,Happy,22,37.27,-647.62,15000,Medium
4,9,2,1009.42,Entertainment,Neutral,21,44.0,-231.08,15000,Medium
4,10,3,627.77,Food,Neutral,20,48.18,-140.65,15000,Medium
4,11,4,474.12,Other,Happy,19,51.35,4.96,15000,Medium
4,12,5,665.65,Transport,Neutral,18,55.78,-144.14,15000,Medium
4,13,6,788.1,Shopping,Tired,17,61.04,-80.14,15000,Medium
4,14,0,782.58,Other,Impulsive,16,66.25,45.28,15000,Medium
4,15,1,205.25,Shopping,Neutral,15,67.62,-105.31,15000,Medium
4,16,2,360.61,Other,Tired,14,70.03,-254.79,15000,Medium
4,17,3,90.64,Food,Impulsive,13,70.63,-491.03,15000,Medium
4,18,4,629.39,Entertainment,Neutral,12,74.83,-316.01,15000,Medium
4,19,5,227.82,Transport,Neutral,11,76.35,-340.55,15000,Medium
4,20,6,58.14,Transport,Neutral,10,76.73,-318.1,15000,Medium
4,21,0,982.43,Food,Impulsive,9,83.28,-200.76,15000,Medium
4,22,1,654.11,Entertainment,Neutral,8,87.64,-37.83,15000,Medium
4,23,2,319.49,Other,Tired,7,89.77,76.51,15000,Medium
4,24,3,597.12,Shopping,Happy,6,93.75,-71.3,15000,Medium
4,25,4,166.25,Food,Happy,5,94.86,-236.61,15000,Medium
4,26,5,322.35,Shopping,Stressed,4,97.01,-223.57,15000,Medium
4,27,6,196.55,Entertainment,Happy,3,98.32,-357.58,15000,Medium
4,28,0,251.03,Entertainment,Happy,2,100.0,-312.53,15000,Medium
4,29,1,151.54,Transport,Neutral,1,101.01,-359.97,15000,Medium
4,30,2,84.94,Food,Neutral,0,101.57,-383.73,15000,Medium
5,1,1,735.94,Other,Impulsive,29,2.45,0.0,30000,Low
5,2,2,716.75,Transport,Tired,28,4.84,0.0,30000,Low
5,3,3,350.71,Other,Tired,27,6.01,0.0,30000,Low
5,4,4,275.61,Food,Stressed,26,6.93,-288.25,30000,Low
5,5,5,1037.13,Food,Impulsive,25,10.39,-171.86,30000,Low
5,6,6,1448.78,Entertainment,Neutral,24,15.22,319.37,30000,Low
5,7,0,1213.35,Shopping,Tired,23,19.26,713.33,30000,Low
5,8,1,1023.07,Food,Impulsive,22,22.67,605.17,30000,Low
5,9,2,493.63,Food,Neutral,21,24.32,149.2,30000,Low
5,10,3,1178.45,Transport,Impulsive,20,28.24,72.92,30000,Low
5,11,4,363.1,Transport,Happy,19,29.46,-171.77,30000,Low
5,12,5,2297.64,Entertainment,Impulsive,18,37.11,469.18,30000,Low
5,13,6,715.12,Other,Happy,17,39.5,277.94,30000,Low
5,14,0,966.23,Shopping,Impulsive,16,42.72,523.01,30000,Low
5,15,1,1426.27,Transport,Impulsive,15,47.47,108.03,30000,Low
5,16,2,942.89,Transport,Stressed,14,50.62,200.31,30000,Low
5,17,3,801.42,Transport,Stressed,13,53.29,141.47,30000,Low
5,18,4,1420.57,Transport,Stressed,12,58.02,105.51,30000,Low
5,19,5,169.2,Shopping,Stressed,11,58.59,-151.98,30000,Low
5,20,6,2143.68,Shopping,Stressed,10,65.73,304.13,30000,Low
5,21,0,1376.28,Entertainment,Impulsive,9,70.32,262.68,30000,Low
5,22,1,641.45,Transport,Impulsive,8,72.46,462.09,30000,Low
5,23,2,289.54,Other,Neutral,7,73.42,-216.89,30000,Low
5,24,3,226.52,Food,Happy,6,74.18,-618.73,30000,Low
5,25,4,597.39,Transport,Stressed,5,76.17,-616.91,30000,Low
5,26,5,309.23,Food,Happy,4,77.2,-579.97,30000,Low
5,27,6,2059.83,Shopping,Stressed,3,84.07,61.59,30000,Low
5,28,0,266.75,Transport,Neutral,2,84.96,-35.43,30000,Low
5,29,1,1471.35,Transport,Stressed,1,89.86,375.21,30000,Low
5,30,2,335.07,Entertainment,Stressed,0,90.98,-243.01,30000,Low
6,1,1,168.39,Food,Neutral,29,1.12,0.0,15000,High
6,2,2,894.42,Transport,Impulsive,28,7.09,0.0,15000,High
6,3,3,969.82,Other,Happy,27,13.55,0.0,15000,High
6,4,4,606.43,Entertainment,Neutral,26,17.59,655.17,15000,High
6,5,5,92.29,Food,Stressed,25,18.21,24.77,15000,High
6,6,6,952.49,Transport,Tired,24,24.56,-127.14,15000,High
6,7,0,194.74,Other,Neutral,23,25.86,-246.59,15000,High
6,8,1,100.79,Food,Tired,22,26.53,-130.26,15000,High
6,9,2,786.91,Other,Stressed,21,31.78,-253.16,15000,High
6,10,3,552.03,Food,Impulsive,20,35.46,-74.17,15000,High
6,11,4,730.57,Food,Impulsive,19,40.33,192.42,15000,High
6,12,5,2572.68,Other,Impulsive,18,57.48,755.51,15000,High
6,13,6,726.31,Shopping,Neutral,17,62.32,811.36,15000,High
6,14,0,290.47,Other,Impulsive,16,64.26,646.59,15000,High
6,15,1,188.57,Other,Tired,15,65.51,-316.68,15000,High
6,16,2,339.95,Transport,Happy,14,67.78,-446.07,15000,High
6,17,3,1385.97,Transport,Neutral,13,77.02,-50.29,15000,High
6,18,4,197.02,Other,Happy,12,78.33,-14.15,15000,High
6,19,5,521.89,Other,Tired,11,81.81,66.2,15000,High
6,20,6,491.4,Entertainment,Happy,10,85.09,-276.14,15000,High
6,21,0,562.11,Food,Happy,9,88.83,-127.64,15000,High
6,22,1,517.89,Shopping,Happy,8,92.29,-122.08,15000,High
6,23,2,1049.84,Entertainment,Stressed,7,99.29,71.79,15000,High
6,24,3,57.31,Shopping,Neutral,6,99.67,-92.86,15000,High
6,25,4,752.36,Food,Stressed,5,104.68,-9.4,15000,High
6,26,5,693.59,Shopping,Stressed,4,109.31,-146.43,15000,High
6,27,6,108.43,Shopping,Neutral,3,110.03,-104.8,15000,High
6,28,0,1282.25,Other,Impulsive,2,118.58,66.65,15000,High
6,29,1,394.1,Shopping,Impulsive,1,121.21,-35.7,15000,High
6,30,2,441.36,Food,Happy,0,124.15,94.62,15000,High
7,1,1,466.76,Food,Tired,29,3.11,0.0,15000,High
7,2,2,338.8,Entertainment,Stressed,28,5.37,0.0,15000,High
7,3,3,573.85,Other,Impulsive,27,9.2,0.0,15000,High
7,4,4,152.22,Entertainment,Impulsive,26,10.21,-111.8,15000,High
7,5,5,754.25,Transport,Neutral,25,15.24,90.66,15000,High
7,6,6,700.85,Transport,Neutral,24,19.91,75.97,15000,High
7,7,0,2079.97,Entertainment,Happy,23,33.78,795.45,15000,High
7,8,1,984.17,Entertainment,Happy,22,40.34,797.82,15000,High
7,9,2,705.86,Shopping,Happy,21,45.04,758.88,15000,High
7,10,3,180.18,Shopping,Tired,20,46.25,-100.41,15000,High
7,11,4,711.86,Food,Impulsive,19,50.99,-223.73,15000,High
7,12,5,196.37,Shopping,Stressed,18,52.3,-387.94,15000,High
7,13,6,2986.72,Entertainment,Stressed,17,72.21,604.63,15000,High
7,14,0,1427.39,Shopping,Impulsive,16,81.73,841.48,15000,High
7,15,1,50.6,Transport,Stressed,15,82.07,834.48,15000,High
7,16,2,616.41,Shopping,Tired,14,86.18,-135.09,15000,High
7,17,3,96.7,Food,Happy,13,86.82,-621.09,15000,High
7,18,4,633.38,Transport,Impulsive,12,91.04,-371.83,15000,High
7,19,5,222.79,Food,Tired,11,92.53,-490.27,15000,High
7,20,6,1277.99,Shopping,Stressed,10,101.05,-54.67,15000,High
7,21,0,389.63,Other,Neutral,9,103.64,-128.55,15000,High
7,22,1,1970.7,Shopping,Impulsive,8,116.78,482.29,15000,High
7,23,2,50.0,Shopping,Stressed,7,117.12,45.59,15000,High
7,24,3,474.83,Other,Neutral,6,120.28,91.52,15000,High
7,25,4,377.35,Transport,Tired,5,122.8,-495.52,15000,High
7,26,5,1391.91,Entertainment,Happy,4,132.08,-15.77,15000,High
7,27,6,51.58,Other,Neutral,3,132.42,-144.81,15000,High
7,28,0,1131.75,Other,Stressed,2,139.97,121.63,15000,High
7,29,1,168.51,Shopping,Happy,1,141.09,-311.37,15000,High
7,30,2,77.84,Other,Tired,0,141.61,-276.3,15000,High
8,1,1,115.79,Shopping,Happy,29,0.77,0.0,15000,Low
8,2,2,486.68,Other,Tired,28,4.02,0.0,15000,Low
8,3,3,221.17,Transport,Neutral,27,5.49,0.0,15000,Low
8,4,4,172.9,Entertainment,Neutral,26,6.64,177.79,15000,Low
8,5,5,721.16,Other,Neutral,25,11.45,70.51,15000,Low
8,6,6,701.92,Entertainment,Tired,24,16.13,257.45,15000,Low
8,7,0,250.04,Shopping,Neutral,23,17.8,308.57,15000,Low
8,8,1,127.73,Transport,Impulsive,22,18.65,16.36,15000,Low
8,9,2,780.68,Entertainment,Impulsive,21,23.85,-17.12,15000,Low
8,10,3,50.0,Transport,Tired,20,24.19,-61.91,15000,Low
8,11,4,687.54,Transport,Stressed,19,28.77,156.4,15000,Low
8,12,5,162.39,Other,Happy,18,29.85,-97.59,15000,Low
8,13,6,160.62,Other,Neutral,17,30.92,-25.96,15000,Low
8,14,0,197.2,Other,Happy,16,32.24,-218.92,15000,Low
8,15,1,556.44,Transport,Neutral,15,35.95,-68.41,15000,Low
8,16,2,515.64,Shopping,Impulsive,14,39.39,66.28,15000,Low
8,17,3,386.05,Shopping,Impulsive,13,41.96,140.63,15000,Low
8,18,4,416.93,Shopping,Impulsive,12,44.74,80.06,15000,Low
8,19,5,535.95,Food,Happy,11,48.31,77.07,15000,Low
8,20,6,398.32,Shopping,Stressed,10,50.97,80.17,15000,Low
8,21,0,506.0,Transport,Stressed,9,54.34,107.26,15000,Low
8,22,1,293.5,Food,Neutral,8,56.3,17.86,15000,Low
8,23,2,351.5,Transport,Stressed,7,58.64,1.41,15000,Low
8,24,3,403.21,Transport,Happy,6,61.33,-38.75,15000,Low
8,25,4,902.88,Shopping,Stressed,5,67.35,168.68,15000,Low
8,26,5,185.02,Food,Impulsive,4,68.58,114.6,15000,Low
8,27,6,299.35,Other,Tired,3,70.58,79.11,15000,Low
8,28,0,563.14,Food,Impulsive,2,74.33,-54.92,15000,Low
8,29,1,431.23,Transport,Happy,1,77.21,35.58,15000,Low
8,30,2,564.99,Food,Impulsive,0,80.97,127.69,15000,Low
9,1,1,129.01,Transport,Neutral,29,0.43,0.0,30000,Low
9,2,2,525.02,Entertainment,Impulsive,28,2.18,0.0,30000,Low
9,3,3,794.82,Shopping,Happy,27,4.83,0.0,30000,Low
9,4,4,300.92,Shopping,Stressed,26,5.83,411.24,30000,Low
9,5,5,1410.47,Food,Happy,25,10.53,508.39,30000,Low
9,6,6,1979.36,Other,Impulsive,24,17.13,747.3,30000,Low
9,7,0,529.19,Shopping,Neutral,23,18.9,868.9,30000,Low
9,8,1,711.2,Other,Happy,22,21.27,441.2,30000,Low
9,9,2,444.06,Entertainment,Tired,21,22.75,-295.12,30000,Low
9,10,3,1997.26,Other,Happy,20,29.4,241.01,30000,Low
9,11,4,444.1,Food,Stressed,19,30.88,164.31,30000,Low
9,12,5,764.71,Food,Stressed,18,33.43,310.46,30000,Low
9,13,6,478.0,Entertainment,Neutral,17,35.03,-319.86,30000,Low
9,14,0,633.62,Food,Impulsive,16,37.14,-216.87,30000,Low
9,15,1,197.03,Other,Tired,15,37.8,-399.63,30000,Low
9,16,2,396.86,Shopping,Happy,14,39.12,-399.15,30000,Low
9,17,3,803.78,Other,Impulsive,13,41.8,-329.95,30000,Low
9,18,4,278.51,Shopping,Happy,12,42.73,-262.87,30000,Low
9,19,5,651.99,Other,Impulsive,11,44.9,-155.38,30000,Low
9,20,6,2673.54,Food,Tired,10,53.81,463.73,30000,Low
9,21,0,603.72,Shopping,Neutral,9,55.82,597.64,30000,Low
9,22,1,485.92,Shopping,Impulsive,8,57.44,545.45,30000,Low
9,23,2,1213.96,Food,Stressed,7,61.49,-39.31,30000,Low
9,24,3,318.91,Shopping,Tired,6,62.55,-124.55,30000,Low
9,25,4,652.6,Food,Tired,5,64.73,-54.83,30000,Low
9,26,5,284.96,Food,Happy,4,65.68,-383.22,30000,Low
9,27,6,1169.19,Shopping,Stressed,3,69.58,-79.66,30000,Low
9,28,0,1264.62,Other,Stressed,2,73.79,129.51,30000,Low
9,29,1,163.95,Other,Tired,1,74.34,108.09,30000,Low
9,30,2,2506.89,Transport,Impulsive,0,82.69,538.76,30000,Low
10,1,1,541.99,Shopping,Tired,29,1.81,0.0,30000,Low
10,2,2,410.6,Shopping,Happy,28,3.18,0.0,30000,Low
10,3,3,911.27,Transport,Stressed,27,6.21,0.0,30000,Low
10,4,4,480.23,Entertainment,Stressed,26,7.81,58.71,30000,Low
10,5,5,858.0,Transport,Impulsive,25,10.67,273.54,30000,Low
10,6,6,390.08,Other,Impulsive,24,11.97,-45.18,30000,Low
10,7,0,181.28,Food,Neutral,23,12.58,-109.57,30000,Low
10,8,1,221.32,Entertainment,Neutral,22,13.32,-376.19,30000,Low
10,9,2,172.19,Transport,Neutral,21,13.89,-407.1,30000,Low
10,10,3,379.62,Other,Stressed,20,15.16,-281.35,30000,Low
10,11,4,634.79,Food,Impulsive,19,17.27,-103.81,30000,Low
10,12,5,1502.21,Transport,Neutral,18,22.28,375.88,30000,Low
10,13,6,225.72,Other,Neutral,17,23.03,332.92,30000,Low
10,14,0,278.66,Shopping,Neutral,16,23.96,197.83,30000,Low
10,15,1,97.34,Food,Happy,15,24.28,-356.39,30000,Low
10,16,2,984.09,Other,Impulsive,14,27.56,-78.12,30000,Low
10,17,3,202.11,Shopping,Happy,13,28.24,-85.58,30000,Low
10,18,4,50.0,Entertainment,Tired,12,28.4,-73.62,30000,Low
10,19,5,477.46,Transport,Impulsive,11,30.0,-273.65,30000,Low
10,20,6,614.74,Food,Happy,10,32.05,-117.59,30000,Low
10,21,0,1651.6,Entertainment,Stressed,9,37.55,441.18,30000,Low
10,22,1,268.63,Other,Tired,8,38.45,371.36,30000,Low
10,23,2,101.62,Other,Happy,7,38.79,193.26,30000,Low
10,24,3,877.45,Entertainment,Happy,6,41.71,-120.54,30000,Low
10,25,4,1464.47,Food,Stressed,5,46.59,290.24,30000,Low
10,26,5,1383.49,Other,Stressed,4,51.2,735.91,30000,Low
10,27,6,245.1,Other,Neutral,3,52.02,509.64,30000,Low
10,28,0,530.06,Shopping,Neutral,2,53.79,160.45,30000,Low
10,29,1,416.33,Shopping,Happy,1,55.17,-193.64,30000,Low
10,30,2,234.45,Food,Happy,0,55.96,-184.39,30000,Low
11,1,1,785.45,Transport,Impulsive,29,3.14,0.0,25000,Medium
11,2,2,513.12,Food,Stressed,28,5.19,0.0,25000,Medium
11,3,3,877.22,Transport,Tired,27,8.7,0.0,25000,Medium
11,4,4,818.45,Transport,Impulsive,26,11.98,-49.19,25000,Medium
11,5,5,472.55,Shopping,Happy,25,13.87,73.46,25000,Medium
11,6,6,968.3,Food,Tired,24,17.74,27.84,25000,Medium
11,7,0,1012.21,Shopping,Impulsive,23,21.79,69.13,25000,Medium
11,8,1,1858.61,Entertainment,Impulsive,22,29.22,586.35,25000,Medium
11,9,2,590.74,Entertainment,Happy,21,31.59,414.67,25000,Medium
11,10,3,242.1,Entertainment,Happy,20,32.56,118.96,25000,Medium
11,11,4,281.87,Entertainment,Neutral,19,33.68,-541.67,25000,Medium
11,12,5,577.88,Other,Tired,18,35.99,-510.12,25000,Medium
11,13,6,1091.57,Other,Impulsive,17,40.36,-163.44,25000,Medium
11,14,0,829.79,Other,Impulsive,16,43.68,67.57,25000,Medium
11,15,1,907.41,Entertainment,Neutral,15,47.31,193.05,25000,Medium
11,16,2,607.2,Entertainment,Impulsive,14,49.74,5.31,25000,Medium
11,17,3,160.9,Shopping,Stressed,13,50.38,-221.49,25000,Medium
11,18,4,2642.57,Transport,Stressed,12,60.95,348.41,25000,Medium
11,19,5,319.14,Transport,Impulsive,11,62.23,263.72,25000,Medium
11,20,6,229.09,Food,Impulsive,10,63.14,322.7,25000,Medium
11,21,0,963.42,Transport,Impulsive,9,67.0,-342.67,25000,Medium
11,22,1,332.65,Entertainment,Neutral,8,68.33,-310.41,25000,Medium
11,23,2,422.0,Food,Impulsive,7,70.02,-216.62,25000,Medium
11,24,3,930.55,Entertainment,Stressed,6,73.74,-235.87,25000,Medium
11,25,4,514.66,Food,Impulsive,5,75.8,-154.06,25000,Medium
11,26,5,1370.79,Shopping,Stressed,4,81.28,177.61,25000,Medium
11,27,6,3604.63,Transport,Stressed,3,95.7,1061.91,25000,Medium
11,28,0,461.19,Shopping,Stressed,2,97.54,1054.23,25000,Medium
11,29,1,1064.35,Entertainment,Neutral,1,101.8,928.51,25000,Medium
11,30,2,151.94,Food,Stressed,0,102.41,-326.95,25000,Medium
12,1,1,229.37,Entertainment,Tired,29,0.92,0.0,25000,Low
12,2,2,364.58,Other,Happy,28,2.38,0.0,25000,Low
12,3,3,592.54,Shopping,Happy,27,4.75,0.0,25000,Low
12,4,4,595.42,Entertainment,Stressed,26,7.13,288.14,25000,Low
12,5,5,932.83,Shopping,Tired,25,10.86,409.95,25000,Low
12,6,6,1148.23,Transport,Stressed,24,15.45,496.66,25000,Low
12,7,0,338.1,Other,Stressed,23,16.8,360.91,25000,Low
12,8,1,916.38,Other,Impulsive,22,20.47,257.96,25000,Low
12,9,2,325.03,Transport,Tired,21,21.77,-117.32,25000,Low
12,10,3,621.18,Food,Impulsive,20,24.25,20.71,25000,Low
12,11,4,132.62,Entertainment,Tired,19,24.79,-280.07,25000,Low
12,12,5,795.34,Other,Neutral,18,27.97,-88.34,25000,Low
12,13,6,469.21,Transport,Neutral,17,29.84,-140.64,25000,Low
12,14,0,809.87,Other,Impulsive,16,33.08,128.18,25000,Low
12,15,1,63.55,Transport,Happy,15,33.34,-135.09,25000,Low
12,16,2,277.23,Transport,Impulsive,14,34.45,-190.36,25000,Low
12,17,3,312.98,Other,Neutral,13,35.7,-372.84,25000,Low
12,18,4,387.76,Food,Happy,12,37.25,-229.63,25000,Low
12,19,5,908.8,Other,Neutral,11,40.88,-1.7,25000,Low
12,20,6,77.23,Shopping,Stressed,10,41.19,-67.04,25000,Low
12,21,0,490.38,Shopping,Happy,9,43.15,-25.21,25000,Low
12,22,1,245.87,Other,Stressed,8,44.14,-266.79,25000,Low
12,23,2,167.21,Entertainment,Stressed,7,44.81,-213.76,25000,Low
12,24,3,120.68,Shopping,Stressed,6,45.29,-335.82,25000,Low
12,25,4,726.55,Transport,Impulsive,5,48.2,-163.42,25000,Low
12,26,5,1567.41,Other,Neutral,4,54.47,317.85,25000,Low
12,27,6,159.04,Shopping,Happy,3,55.1,345.9,25000,Low
12,28,0,236.49,Other,Happy,2,56.05,172.36,25000,Low
12,29,1,663.08,Shopping,Stressed,1,58.7,-170.84,25000,Low
12,30,2,606.95,Transport,Happy,0,61.13,-8.03,25000,Low
13,1,1,218.93,Shopping,Happy,29,0.73,0.0,30000,Low
13,2,2,898.6,Other,Impulsive,28,3.73,0.0,30000,Low
13,3,3,486.85,Entertainment,Tired,27,5.35,0.0,30000,Low
13,4,4,188.59,Other,Happy,26,5.98,305.75,30000,Low
13,5,5,273.91,Other,Neutral,25,6.89,-242.31,30000,Low
13,6,6,1469.95,Food,Impulsive,24,11.79,109.36,30000,Low
13,7,0,339.83,Entertainment,Impulsive,23,12.92,246.32,30000,Low
13,8,1,298.41,Shopping,Impulsive,22,13.92,289.35,30000,Low
13,9,2,1289.19,Shopping,Happy,21,18.21,53.0,30000,Low
13,10,3,783.47,Other,Neutral,20,20.83,236.55,30000,Low
13,11,4,982.12,Other,Happy,19,24.1,496.38,30000,Low
13,12,5,774.85,Transport,Neutral,18,26.68,239.67,30000,Low
13,13,6,103.86,Other,Neutral,17,27.03,-4.5,30000,Low
13,14,0,824.77,Entertainment,Stressed,16,29.78,-89.43,30000,Low
13,15,1,774.05,Other,Tired,15,32.36,-99.5,30000,Low
13,16,2,66.61,Food,Happy,14,32.58,-68.59,30000,Low
13,17,3,959.54,Entertainment,Neutral,13,35.78,-38.03,30000,Low
13,18,4,365.87,Entertainment,Impulsive,12,37.0,-183.15,30000,Low
13,19,5,792.59,Transport,Tired,11,39.64,95.13,30000,Low
13,20,6,156.44,Transport,Happy,10,40.16,-193.08,30000,Low
13,21,0,75.57,Transport,Stressed,9,40.41,-275.1,30000,Low
13,22,1,201.93,Other,Happy,8,41.09,-481.25,30000,Low
13,23,2,474.76,Food,Stressed,7,42.67,-351.67,30000,Low
13,24,3,205.67,Entertainment,Impulsive,6,43.35,-283.21,30000,Low
13,25,4,50.0,Entertainment,Stressed,5,43.52,-316.79,30000,Low
13,26,5,317.96,Other,Tired,4,44.58,-365.34,30000,Low
13,27,6,917.32,Food,Impulsive,3,47.64,-113.51,30000,Low
13,28,0,784.61,Food,Happy,2,50.25,151.04,30000,Low
13,29,1,234.31,Entertainment,Stressed,1,51.04,131.02,30000,Low
